kalshi_ticker,kalshi_strike,kalshi_question,kalshi_last_price,kalshi_rules_primary,kalshi_strike_type,kalshi_market_type,kalshi_event_ticker,kalshi_floor_strike,polymarket_id,polymarket_strike,polymarket_question,polymarket_last_price,polymarket_end_date
KXBTCD-25DEC0517-T99999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 99999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,99999.99,735233,100000.0,"Will the price of Bitcoin be greater than $100,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T97999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 97999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,97999.99,735245,98000.0,"Will the price of Bitcoin be above $98,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T95999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 95999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,95999.99,735244,96000.0,"Will the price of Bitcoin be above $96,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T93999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 93999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,93999.99,735243,94000.0,"Will the price of Bitcoin be above $94,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T91999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 91999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,91999.99,735242,92000.0,"Will the price of Bitcoin be above $92,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T89999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 89999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,89999.99,735241,90000.0,"Will the price of Bitcoin be above $90,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T87999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 87999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,87999.99,735240,88000.0,"Will the price of Bitcoin be above $88,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T85999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 85999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,85999.99,735239,86000.0,"Will the price of Bitcoin be above $86,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T83999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 83999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,83999.99,735238,84000.0,"Will the price of Bitcoin be above $84,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T81999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 81999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,81999.99,735237,82000.0,"Will the price of Bitcoin be above $82,000 on December 5?",,2025-12-05
KXBTCD-25DEC0517-T79999.99,,,,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 5 PM EST is above 79999.99 at 5 PM EST on Dec 5, 2025, then the market resolves to Yes.",greater,binary,KXBTCD-25DEC0517,79999.99,735235,80000.0,"Will the price of Bitcoin be above $80,000 on December 5?",,2025-12-05
