market,kalshi_ticker,kalshi_yes_price,poly_ticker,poly_yes_price,buy_yes,buy_no,lower_multiple,upper_multiple,multiplier
bitcoin,KXBTCD-25DEC0517-T99999.99,0.06,735233,0.0245,Poly,Kalshi,0.4083333333333334,1.0377659574468086,0.49112958771794146
bitcoin,KXBTCD-25DEC0517-T97999.99,0.11,735245,0.0675,Poly,Kalshi,0.6136363636363636,1.047752808988764,0.762733993841435
bitcoin,KXBTCD-25DEC0517-T95999.99,0.2,735244,0.156,Poly,Kalshi,0.7799999999999999,1.055,0.9165124551020272
bitcoin,KXBTCD-25DEC0517-T93999.99,0.33,735243,0.3145,Poly,Kalshi,0.953030303030303,1.023134328358209,0.9956339463887179
bitcoin,KXBTCD-25DEC0517-T91999.99,0.5,735242,0.5,Poly,Kalshi,1.0,1.0,1.0
bitcoin,KXBTCD-25DEC0517-T89999.99,0.68,735241,0.705,Kalshi,Poly,0.9645390070921988,1.0847457627118642,1.0029665771800758
bitcoin,KXBTCD-25DEC0517-T87999.99,0.84,735240,0.855,Kalshi,Poly,0.9824561403508771,1.103448275862069,1.0214232561360916
bitcoin,KXBTCD-25DEC0517-T85999.99,0.94,735239,0.935,Poly,Kalshi,0.9946808510638299,1.0833333333333315,1.066200072389881
bitcoin,KXBTCD-25DEC0517-T83999.99,0.95,735238,0.968,Kalshi,Poly,0.981404958677686,1.5625,1.163235567253074
bitcoin,KXBTCD-25DEC0517-T81999.99,0.99,735237,0.9745,Poly,Kalshi,0.9843434343434344,2.5499999999999945,2.0683851883217503
